,index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace,location_numeric,margin,eigen_opp_rating,eigen_team_rating,eigen_opp_game_score,eigen_team_game_score,em_opp_rating,em_team_rating,em_opp_game_score,em_team_game_score,adj_em_opp_rating,adj_em_team_rating,adj_em_opp_game_score,adj_em_team_game_score,team_most_recent_gs1,team_most_recent_gs2,team_most_recent_gs3,opp_most_recent_gs1,opp_most_recent_gs2,opp_most_recent_gs3,team_rating,opp_rating,team_rating*opp_rating
4555,2022-02-23-20-arkansas-state,COASTAL-CAROLINA,ARKANSAS-STATE,74,69,72.9,Away,2022-02-23,True,-1,5,47.918406105299965,47.948742617818255,-47.918406105299965,47.948742617818255,-4.100933224948733,0.2719648532490737,4.100933224948733,0.2719648532490737,-3.306224650998192,-1.6032976458610608,3.306224650998192,-1.6032976458610608,-1.6032976458610608,-22.446167042054853,-22.446167042054853,3.306224650998192,-16.53112325499096,-16.53112325499096,-1.6032976458610608,-3.306224650998192,5.300862199633209
4556,2022-02-25-19-arkansas-little-rock,COASTAL-CAROLINA,ARKANSAS-LITTLE-ROCK,68,55,68.6,Away,2022-02-25,True,-1,13,47.84055560738093,47.948742617818255,-430.56500046642833,431.5386835603643,-15.322799697952405,0.2719648532490737,137.90519728157165,2.4476836792416634,-14.803204527258515,-1.6032976458610608,133.22884074532664,-14.429678812749547,-14.429678812749547,-1.6032976458610608,-1.6032976458610608,133.22884074532664,118.42563621806812,118.42563621806812,-1.6032976458610608,-14.803204527258515,23.733942969753375
4557,2022-02-19-13-colgate,COLGATE,BOSTON-UNIVERSITY,72,53,66.3,Home,2022-02-19,True,1,19,47.898675724897096,47.945743587636805,-1101.6695416726332,1102.7521025156466,-6.944995886857441,-0.160334453040889,159.73490539772115,-3.687692419940447,-5.776400935301636,0.48223309659515595,132.85722151193764,11.091361221688587,11.091361221688587,2.8933985795709356,2.8933985795709356,132.85722151193764,-51.987608417714725,-51.987608417714725,0.48223309659515595,-5.776400935301636,-2.785571710205663
4558,2022-02-21-18-colgate,COLGATE,AMERICAN,63,49,65.0,Home,2022-02-21,True,1,14,47.80482194675418,47.945743587636805,-860.4867950415753,863.0233845774625,-20.473677070144447,-0.160334453040889,368.52618726260005,-2.886020154736002,-20.084486879770118,0.48223309659515595,361.5207638358621,8.680195738712808,8.680195738712808,11.091361221688587,11.091361221688587,361.5207638358621,-401.68973759540233,-401.68973759540233,0.48223309659515595,-20.084486879770118,-9.685404301556325
4559,2022-02-23-19-holy-cross,COLGATE,HOLY-CROSS,78,71,68.1,Away,2022-02-23,True,-1,7,47.791153873526525,47.945743587636805,-143.37346162057958,143.83723076291042,-22.443880174863295,-0.160334453040889,67.33164052458989,-0.481003359122667,-21.29621678651245,0.48223309659515595,63.88865035953735,1.4466992897854678,8.680195738712808,8.680195738712808,11.091361221688587,574.9978532358361,574.9978532358361,-21.29621678651245,0.48223309659515595,-21.29621678651245,-10.269740566721639
4560,2022-02-19-16-college-of-charleston,COLLEGE-OF-CHARLESTON,TOWSON,77,80,75.7,Home,2022-02-19,True,1,-3,48.01979707576261,47.945799672969414,-48.01979707576261,47.945799672969414,10.514206851398455,-0.15224995608207337,-10.514206851398455,-0.15224995608207337,10.823823632540309,-0.8262163988512032,-10.823823632540309,-0.8262163988512032,-0.8262163988512032,3.304865595404813,3.304865595404813,216.4764726508062,216.4764726508062,432.9529453016124,-0.8262163988512032,10.823823632540309,-8.942820583478003
4561,2022-02-22-19-northeastern,COLLEGE-OF-CHARLESTON,NORTHEASTERN,83,72,66.9,Away,2022-02-22,True,-1,11,47.900922196931035,47.945799672969414,-335.3064553785172,335.6205977107859,-6.621175103765609,-0.15224995608207337,46.34822572635926,-1.0657496925745136,-6.968437234638104,-0.8262163988512032,48.77906064246673,-5.783514791958423,-5.783514791958423,-0.8262163988512032,-0.8262163988512032,48.77906064246673,48.77906064246673,139.36874469276208,-0.8262163988512032,-6.968437234638104,5.757437117623332
4562,2022-02-24-19-delaware,COLLEGE-OF-CHARLESTON,DELAWARE,99,96,84.3,Away,2022-02-24,True,-1,3,47.936035471719215,47.945799672969414,47.936035471719215,-47.945799672969414,-1.5597240965718129,-0.15224995608207337,-1.5597240965718129,0.15224995608207337,-1.4188407686510185,-0.8262163988512032,-1.4188407686510185,0.8262163988512032,-5.783514791958423,-5.783514791958423,-0.8262163988512032,-0.0,-0.0,-7.094203843255093,-0.8262163988512032,-1.4188407686510185,1.1722695104181178
4563,2022-02-19-20-nevada-las-vegas,COLORADO-STATE,NEVADA-LAS-VEGAS,51,72,62.0,Away,2022-02-19,True,-1,-21,48.03822658429656,48.07085986259055,1200.955664607414,-1201.7714965647638,13.170753558989645,17.874722080455285,329.26883897474113,-446.86805201138213,12.32919342268911,20.61601030418703,308.2298355672278,-515.4002576046757,226.77611334605731,226.77611334605731,-20.61601030418703,308.2298355672278,-12.32919342268911,-12.32919342268911,20.61601030418703,12.32919342268911,254.17877864447365
4564,2022-02-23-21-colorado-state,COLORADO-STATE,WYOMING,61,55,62.0,Home,2022-02-23,True,1,6,48.04616625819772,48.07085986259055,-480.46166258197724,480.70859862590555,14.315228709946837,17.874722080455285,-143.15228709946837,178.74722080455285,13.522402679526918,20.61601030418703,-135.22402679526917,206.1601030418703,-515.4002576046757,-515.4002576046757,226.77611334605731,-135.22402679526917,162.268832154323,162.268832154323,20.61601030418703,13.522402679526918,278.7779929784932
4565,2022-02-19-22-stanford,COLORADO,STANFORD,70,53,63.6,Away,2022-02-19,True,-1,17,48.01097368656269,48.065967112586414,-624.142657925315,624.8575724636233,9.242347350335933,17.1694499409071,-120.15051555436713,223.2028492317923,9.621983428491532,16.86082349616111,-125.08578457038992,219.19070545009444,67.44329398464444,67.44329398464444,370.9381169155444,0.0,0.0,67.35388399944073,16.86082349616111,9.621983428491532,162.23456427078287
4566,2022-02-24-21-colorado,COLORADO,ARIZONA-STATE,65,82,72.6,Home,2022-02-24,True,1,-17,48.05915345212497,48.065967112586414,624.7689948776246,-624.8575724636233,16.18728553689408,17.1694499409071,210.43471197962305,-223.2028492317923,14.036107316368025,16.86082349616111,182.46939511278433,-219.19070545009444,-219.19070545009444,219.19070545009444,219.19070545009444,182.46939511278433,-252.64993169462446,-252.64993169462446,16.86082349616111,14.036107316368025,236.66032803445685
4567,2022-02-18-19-harvard,COLUMBIA,HARVARD,54,62,74.6,Away,2022-02-18,True,-1,-8,47.905816545540176,47.79379549760068,574.8697985464821,-573.5255459712081,-5.915672531114069,-22.063099660616103,-70.98807037336883,264.75719592739324,-6.244403175778719,-19.913586539364996,-74.93283810934463,238.96303847237994,418.1853173266649,338.5309711692049,358.4445577085699,-74.93283810934463,74.93283810934463,-6.244403175778719,-19.913586539364996,-6.244403175778719,124.34846302755513
4568,2022-02-19-19-dartmouth,COLUMBIA,DARTMOUTH,50,79,72.8,Away,2022-02-19,True,-1,-29,47.92196919928596,47.79379549760068,1581.4249835764367,-1577.1952514208224,-3.587326170267602,-22.063099660616103,-118.38176361883086,728.0822888003314,-3.736065615892823,-19.913586539364996,-123.29016532446316,657.1483557990449,238.96303847237994,238.96303847237994,418.1853173266649,-59.77704985428517,-59.77704985428517,183.0672151787483,-19.913586539364996,-3.736065615892823,74.39846595882771
