
index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace
2021-11-25-19-new-mexico,ALABAMA-BIRMINGHAM,new-mexico,86,73,77.3,Neutral,2021-11-25,True

2021-11-26-23-alabama-birmingham,ALABAMA-BIRMINGHAM,san-francisco,61,63,71.3,Neutral,2021-11-26,True

2021-12-01-19-alabama-birmingham,ALABAMA-BIRMINGHAM,east-tennessee-state,70,56,65.5,Home,2021-12-01,True

2021-12-04-18-saint-louis,ALABAMA-BIRMINGHAM,saint-louis,77,72,66.3,Away,2021-12-04,True

2021-12-12-15-alabama-birmingham,ALABAMA-BIRMINGHAM,Millsaps,103,29,81.8,Home,2021-12-12,True

2021-12-14-19-alabama-birmingham,ALABAMA-BIRMINGHAM,grambling,79,61,77.2,Home,2021-12-14,True

2021-12-18-17-alabama-birmingham,ALABAMA-BIRMINGHAM,west-virginia,59,65,69.5,Home,2021-12-18,True

2021-12-22-19-alabama-birmingham,ALABAMA-BIRMINGHAM,mississippi-valley-state,100,58,80.0,Home,2021-12-22,True

2021-12-30-19-alabama-birmingham,ALABAMA-BIRMINGHAM,texas-el-paso,75,62,68.0,Home,2021-12-30,True

2022-01-01-15-alabama-birmingham,ALABAMA-BIRMINGHAM,texas-san-antonio,87,59,70.1,Home,2022-01-01,True

2022-01-06-20-north-texas,ALABAMA-BIRMINGHAM,north-texas,69,63,62.9,Away,2022-01-06,True

2022-01-08-16-rice,ALABAMA-BIRMINGHAM,rice,80,85,75.0,Away,2022-01-08,True

2022-01-13-19-alabama-birmingham,ALABAMA-BIRMINGHAM,florida-international,84,56,69.7,Home,2022-01-13,True

2022-01-15-16-alabama-birmingham,ALABAMA-BIRMINGHAM,florida-atlantic,76,65,71.8,Home,2022-01-15,True

2022-01-22-16-louisiana-tech,ALABAMA-BIRMINGHAM,louisiana-tech,83,76,75.8,Away,2022-01-22,True

2022-01-27-21-western-kentucky,ALABAMA-BIRMINGHAM,western-kentucky,68,65,72.2,Away,2022-01-27,True

2022-01-29-19-marshall,ALABAMA-BIRMINGHAM,marshall,81,84,75.7,Away,2022-01-29,True

2022-02-05-16-alabama-birmingham,ALABAMA-BIRMINGHAM,middle-tennessee,97,75,74.9,Home,2022-02-05,True

2021-11-09-20-western-kentucky,ALABAMA-STATE,western-kentucky,74,79,82.7,Away,2021-11-09,True

2021-11-10-20-vanderbilt,ALABAMA-STATE,vanderbilt,72,91,77.9,Away,2021-11-10,True

2021-11-13-20-missouri-state,ALABAMA-STATE,missouri-state,60,78,75.4,Away,2021-11-13,True

2021-11-16-20-iowa-state,ALABAMA-STATE,iowa-state,60,68,77.4,Away,2021-11-16,True

2021-11-18-19-iowa,ALABAMA-STATE,iowa,82,108,74.3,Away,2021-11-18,True

2021-11-20-20-alabama-state,ALABAMA-STATE,north-carolina-central,80,74,73.9,Home,2021-11-20,True

2021-11-22-20-alabama-state,ALABAMA-STATE,Tuskegee,91,65,79.0,Home,2021-11-22,True

2021-11-28-15-alabama-state,ALABAMA-STATE,north-alabama,69,81,75.0,Home,2021-11-28,True

2021-12-01-19-dayton,ALABAMA-STATE,dayton,54,93,69.5,Away,2021-12-01,True

2021-12-08-19-alabama-state,ALABAMA-STATE,samford,64,74,78.9,Home,2021-12-08,True

2021-12-11-18-pepperdine,ALABAMA-STATE,pepperdine,62,79,74.1,Away,2021-12-11,True

2021-12-22-14-texas,ALABAMA-STATE,texas,48,68,65.4,Away,2021-12-22,True

2021-12-28-14-texas-tech,ALABAMA-STATE,texas-tech,53,75,71.7,Away,2021-12-28,True

